model,stage,instance_id,final_source,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,final_path
gpt-5.4-mini,stage3,chain_01_e01_dns_packet_capture_batch_chain_stage3,adjudicated,9,9,3,3,2,2,1,3,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_01_e01_dns_packet_capture_batch_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_02_e01_python_simplehttpserver_network_chain_stage3,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_02_e01_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_03_e02_dns_packet_capture_batch_chain_stage3,two_review_match,0,0,0,0,0,0,0,5,5,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_03_e02_dns_packet_capture_batch_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_04_e03_dns_packet_capture_batch_chain_stage3,adjudicated,4,6,1,2,0,1,1,3,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_04_e03_dns_packet_capture_batch_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_05_e03_python_simplehttpserver_network_chain_stage3,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_05_e03_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_06_e04_python_simplehttpserver_network_chain_stage3,two_review_match,5,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_06_e04_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_07_e05_sublime_python_script_execution_chain_stage3,adjudicated,16,30,6,10,1,9,2,4,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_07_e05_sublime_python_script_execution_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_08_e06_sublime_python_script_execution_chain_stage3,two_review_match,0,0,0,0,0,0,0,4,4,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_08_e06_sublime_python_script_execution_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_09_e07_cmdexe_other_chain_stage3,adjudicated,6,6,2,2,1,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_09_e07_cmdexe_other_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_10_e07_discord_run_key_registry_chain_stage3,adjudicated,8,9,2,3,0,2,2,6,4,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_10_e07_discord_run_key_registry_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_11_e07_sublime_python_script_execution_chain_stage3,adjudicated,15,18,5,6,4,5,2,4,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_11_e07_sublime_python_script_execution_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_12_e08_python_simplehttpserver_network_chain_stage3,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_12_e08_python_simplehttpserver_network_chain_stage3\codex_score_result.json
gpt-5.4-mini,stage3,chain_13_e09_dns_packet_capture_batch_chain_stage3,adjudicated,9,15,3,5,2,4,2,5,3,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage3\chain_13_e09_dns_packet_capture_batch_chain_stage3\codex_score_result.json
