reviewed_at_utc,replicate,model,stage,instance_id,chain_id,run_json,gold_file,evaluation_unit,review1_pass,review2_pass,two_review_adoptable,gold_step_count,candidate_step_count,recall_hits,recall_total,recall,precision_hits,precision_total,precision,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,review_summary,dataset_label,comparison_scope,scoring_mode,review_status,stage_label,chain_type,framework_group,evaluable_chain,reviewer_a_source,reviewer_b_source,format_failure_note,adjudication_pass,adjudication_rule
2026-06-12T12:34:14.865428+00:00,replicate_01,gpt-4.1-mini,stage1,chain_06_e04_python_simplehttpserver_network_chain_stage1,chain_06_e04_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_06_e04_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,6,1,2,0.5,1,6,0.16666666666666666,1,2,0.5,候補S1はpython -m SimpleHTTPServer起動を示しC06-S01に一致。ただしネットワークログなしと明記しており、10.193.66.115:58199への通信ステップC06-S02は復元していない。S2-S6はRepWmiUtilsやhelloworld.pyなどgold外。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,alert_clue,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a2_batch_20260612T122754Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b2_batch_20260612T122754Z_8.jsonl,,,
2026-06-12T12:34:14.865428+00:00,replicate_01,gpt-4.1-mini,stage2,chain_05_e03_python_simplehttpserver_network_chain_stage2,chain_05_e03_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_05_e03_python_simplehttpserver_network_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,5,2,2,1.0,2,5,0.4,2,2,1.0,候補S1はpython -m SimpleHTTPServer起動を非alert audit_logs由来のpython.exeステップとして示しC05-S01に一致。候補S3はpython.exeの10.193.66.115へのネットワーク通信を非alert根拠で示しC05-S02に一致。S2の標準ライブラリfile_read、RepWmiUtils/csc関連はgold外。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a2_batch_20260612T122754Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b2_batch_20260612T122754Z_8.jsonl,,,
2026-06-12T12:34:14.865428+00:00,replicate_01,gpt-4.1-mini,stage2,chain_06_e04_python_simplehttpserver_network_chain_stage2,chain_06_e04_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_06_e04_python_simplehttpserver_network_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,8,0,2,0.0,0,8,0.0,0,2,0.0,候補はRepWmiUtils/repmgr/services、index.html file_read、start_dns_logs.batなど周辺または別chainの挙動で、python -m SimpleHTTPServer起動および10.193.66.115:58199通信をbehavior+evidenceとして復元していない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a2_batch_20260612T122754Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b2_batch_20260612T122754Z_8.jsonl,,,
2026-06-12T12:34:14.865428+00:00,replicate_01,gpt-4.1-mini,stage3,chain_05_e03_python_simplehttpserver_network_chain_stage3,chain_05_e03_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage3/chain_05_e03_python_simplehttpserver_network_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,0,0,2,0.0,0,0,,0,2,0.0,候補code_stepsが空で、SimpleHTTPServer起動もネットワークサーバ挙動も復元されていない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,non_alert_telemetry_only,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a2_batch_20260612T122754Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b2_batch_20260612T122754Z_8.jsonl,,,
2026-06-12T12:34:14.865428+00:00,replicate_01,gpt-4.1-mini,stage3,chain_07_e05_sublime_python_script_execution_chain_stage3,chain_07_e05_sublime_python_script_execution_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage3/chain_07_e05_sublime_python_script_execution_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,10,0,0,10,0.0,0,0,,0,10,0.0,候補code_stepsが空で、plugin_host.exe、cmd.exe、python.exeによるhelloworld.py/helloworld2.py実行連鎖は復元されていない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,non_alert_telemetry_only,sublime_python_script_execution_chain,script_execution_chain,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a2_batch_20260612T122754Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b2_batch_20260612T122754Z_8.jsonl,,,
2026-06-12T12:39:41.961451+00:00,replicate_01,gpt-4.1-mini,stage1,chain_07_e05_sublime_python_script_execution_chain_stage1,chain_07_e05_sublime_python_script_execution_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_07_e05_sublime_python_script_execution_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,10,4,0,10,0.0,0,4,0.0,0,10,0.0,候補S1はCBC alert証跡のみで非アラート証跡条件を満たさない。S2はhelloworld.pyのfile_accessで、スクリプト実行挙動を非アラート証跡付きで主張していない。S3/S4は金の実行チェーンと対応しないため一致なし。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,alert_clue,sublime_python_script_execution_chain,script_execution_chain,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_c3_conflicts_20260612T1240Z.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_d3_conflicts_20260612T1240Z.jsonl,,,
2026-06-12T12:39:41.961451+00:00,replicate_01,gpt-4.1-mini,stage2,chain_07_e05_sublime_python_script_execution_chain_stage2,chain_07_e05_sublime_python_script_execution_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_07_e05_sublime_python_script_execution_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,10,2,1,10,0.1,1,2,0.5,1,10,0.1,候補S1はplugin_host/cmd/pythonの起動関係とpython -u helloworld.pyのコマンドを非アラート証跡で示しており金のcmd/python実行ステップ1件に対応する。候補S2はpycのfile_readであり、スクリプト実行そのものとは扱わないため不一致。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,sublime_python_script_execution_chain,script_execution_chain,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_c3_conflicts_20260612T1240Z.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_d3_conflicts_20260612T1240Z.jsonl,,,
2026-06-12T12:39:41.961451+00:00,replicate_01,gpt-4.1-mini,stage3,chain_06_e04_python_simplehttpserver_network_chain_stage3,chain_06_e04_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage3/chain_06_e04_python_simplehttpserver_network_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,2,0,2,0.0,0,2,0.0,0,2,0.0,候補はpython -m http.server 8000、Python39、10.193.66.115:8000/sysmon証跡としており、金のpython -m SimpleHTTPServer、Python27、CBC netconnの10.193.66.115:58199とは同一挙動・同一証跡として明確に対応しないため不一致。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,non_alert_telemetry_only,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_c3_conflicts_20260612T1240Z.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_d3_conflicts_20260612T1240Z.jsonl,,,
2026-06-13T00:29:51.869922+00:00,replicate_01,gpt-4.1-mini,stage1,chain_09_e07_cmdexe_other_chain_stage1,chain_09_e07_cmdexe_other_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_09_e07_cmdexe_other_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,5,0,2,0.0,0,5,0.0,0,2,0.0,候補はDNS/tshark系や汎用的なdiscord.exe子プロセス記述で、goldのdiscord.exeからcmd.exe nvidia-smi実行への非アラート根拠付き対応がない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,alert_clue,cmdexe_other_chain,command_shell_execution,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a4_batch_20260612T124007Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b4r_batch_20260612T124007Z_8.jsonl,,,
2026-06-13T00:29:51.869922+00:00,replicate_01,gpt-4.1-mini,stage1,chain_11_e07_sublime_python_script_execution_chain_stage1,chain_11_e07_sublime_python_script_execution_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_11_e07_sublime_python_script_execution_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,6,5,2,6,0.3333333333333333,2,5,0.4,1,6,0.16666666666666666,pythonのpip install xmltodictとhello.py実行の2手順は対応する。ただしcandidate順ではpipが先でgoldではhello.py実行後のため、順序一致は1手順分にとどまる。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,alert_clue,sublime_python_script_execution_chain,script_execution_chain,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a4_batch_20260612T124007Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b4r_batch_20260612T124007Z_8.jsonl,,,
2026-06-13T00:29:51.869922+00:00,replicate_01,gpt-4.1-mini,stage2,chain_09_e07_cmdexe_other_chain_stage2,chain_09_e07_cmdexe_other_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_09_e07_cmdexe_other_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,0,0,2,0.0,0,0,,0,2,0.0,candidateのcode_stepsが空で、gold 2手順に対応する行動・非アラート証拠は出力されていない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,cmdexe_other_chain,command_shell_execution,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a4_batch_20260612T124007Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b4r_batch_20260612T124007Z_8.jsonl,,,
2026-06-13T00:29:51.869922+00:00,replicate_01,gpt-4.1-mini,stage2,chain_10_e07_discord_run_key_registry_chain_stage2,chain_10_e07_discord_run_key_registry_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_10_e07_discord_run_key_registry_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,3,0,0,3,0.0,0,0,,0,3,0.0,candidateのcode_stepsが空で、Discord Run key registry chainの3手順はいずれも復元されていない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,discord_run_key_registry_chain,persistence_registry_run_key,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a4_batch_20260612T124007Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b4r_batch_20260612T124007Z_8.jsonl,,,
2026-06-13T00:29:51.869922+00:00,replicate_01,gpt-4.1-mini,stage2,chain_11_e07_sublime_python_script_execution_chain_stage2,chain_11_e07_sublime_python_script_execution_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_11_e07_sublime_python_script_execution_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,6,3,1,6,0.16666666666666666,1,3,0.3333333333333333,1,6,0.16666666666666666,hello.pyをpython.exeで実行した1手順のみgoldのスクリプト実行に対応する。DNS書き込みやhelloworld.py実行は対象行動・対象ファイルがgoldと異なる。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,sublime_python_script_execution_chain,script_execution_chain,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a4_batch_20260612T124007Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b4r_batch_20260612T124007Z_8.jsonl,,,
2026-06-13T00:29:51.869922+00:00,replicate_01,gpt-4.1-mini,stage3,chain_09_e07_cmdexe_other_chain_stage3,chain_09_e07_cmdexe_other_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage3/chain_09_e07_cmdexe_other_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,0,0,2,0.0,0,0,,0,2,0.0,candidateのcode_stepsが空で、discord.exe配下のcmd.exe /c nvidia-smi実行を非アラート証拠付きで復元していない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,non_alert_telemetry_only,cmdexe_other_chain,command_shell_execution,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a4_batch_20260612T124007Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b4r_batch_20260612T124007Z_8.jsonl,,,
