model,stage,instance_id,chain_type,scenario_group,scenario_group_ja,final_source,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-5.4-mini,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,4,9,0,3,0,2,1,2,1
gpt-5.4-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,4,2
gpt-5.4-mini,stage2,chain_03_e02_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,6,6,2,2,0,1,1,3,2
gpt-5.4-mini,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,6,6,2,2,0,1,1,4,3
gpt-5.4-mini,stage2,chain_05_e03_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage2,chain_06_e04_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage2,chain_07_e05_sublime_python_script_execution_chain_stage2,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,17,30,5,10,2,9,2,2,0
gpt-5.4-mini,stage2,chain_08_e06_sublime_python_script_execution_chain_stage2,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,12,12,4,4,2,3,2,2,0
gpt-5.4-mini,stage2,chain_09_e07_cmdexe_other_chain_stage2,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,6,2,2,1,1,1,5,4
gpt-5.4-mini,stage2,chain_10_e07_discord_run_key_registry_chain_stage2,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,two_review_match,3,9,0,3,0,2,0,1,1
gpt-5.4-mini,stage2,chain_11_e07_sublime_python_script_execution_chain_stage2,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,15,18,5,6,3,5,2,4,2
gpt-5.4-mini,stage2,chain_12_e08_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage2,chain_13_e09_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,7,15,2,5,1,4,2,2,0
gpt-5.4-mini,stage2,chain_14_e09_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,0,6,0,2,0,1,0,0,0
gpt-5.4-mini,stage2,chain_15_e10_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage2,chain_16_e11_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage2,chain_17_e12_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage2,chain_18_e13_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,6,6,2,2,0,1,1,3,2
gpt-5.4-mini,stage2,chain_19_e13_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,1,1,0
gpt-5.4-mini,stage2,chain_20_e14_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,6,6,2,2,0,1,1,2,1
gpt-5.4-mini,stage2,chain_21_e15_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage2,chain_22_e16_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage2,chain_23_e17_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage2,chain_24_e18_cmdexe_other_chain_stage2,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,9,9,3,3,1,2,2,9,7
gpt-5.4-mini,stage2,chain_25_e18_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,9,9,3,3,1,2,2,6,4
gpt-5.4-mini,stage2,chain_26_e18_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,6,1,2,0,1,1,1,0
gpt-5.4-mini,stage2,chain_27_e19_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,6,6,2,2,0,1,1,3,2
gpt-5.4-mini,stage3,chain_01_e01_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,9,9,3,3,2,2,1,3,2
gpt-5.4-mini,stage3,chain_02_e01_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage3,chain_03_e02_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,0,0,0,0,0,0,0,5,5
gpt-5.4-mini,stage3,chain_04_e03_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,4,6,1,2,0,1,1,3,2
gpt-5.4-mini,stage3,chain_05_e03_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage3,chain_06_e04_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,5,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage3,chain_07_e05_sublime_python_script_execution_chain_stage3,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,16,30,6,10,1,9,2,4,2
gpt-5.4-mini,stage3,chain_08_e06_sublime_python_script_execution_chain_stage3,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,0,0,0,0,0,0,0,4,4
gpt-5.4-mini,stage3,chain_09_e07_cmdexe_other_chain_stage3,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,6,2,2,1,1,1,1,0
gpt-5.4-mini,stage3,chain_10_e07_discord_run_key_registry_chain_stage3,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,adjudicated,8,9,2,3,0,2,2,6,4
gpt-5.4-mini,stage3,chain_11_e07_sublime_python_script_execution_chain_stage3,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,15,18,5,6,4,5,2,4,2
gpt-5.4-mini,stage3,chain_12_e08_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage3,chain_13_e09_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,9,15,3,5,2,4,2,5,3
gpt-5.4-mini,stage3,chain_14_e09_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,6,1,2,0,1,1,2,1
gpt-5.4-mini,stage3,chain_15_e10_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,5,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage3,chain_16_e11_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,6,2,2,1,1,1,1,0
gpt-5.4-mini,stage3,chain_17_e12_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,6,2,2,1,1,1,1,0
gpt-5.4-mini,stage3,chain_18_e13_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,6,6,2,2,1,1,1,7,6
gpt-5.4-mini,stage3,chain_19_e13_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,1,1,0
gpt-5.4-mini,stage3,chain_20_e14_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,0,0,0,0,0,0,0,5,5
gpt-5.4-mini,stage3,chain_21_e15_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage3,chain_22_e16_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,6,2,2,1,1,1,1,0
gpt-5.4-mini,stage3,chain_23_e17_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage3,chain_24_e18_cmdexe_other_chain_stage3,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,7,9,2,3,1,2,2,5,3
gpt-5.4-mini,stage3,chain_25_e18_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,9,9,3,3,2,2,2,5,3
gpt-5.4-mini,stage3,chain_26_e18_python_simplehttpserver_network_chain_stage3,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,4,6,1,2,0,1,1,3,2
gpt-5.4-mini,stage3,chain_27_e19_dns_packet_capture_batch_chain_stage3,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,0,0,0,0,0,0,0,4,4
