chain_id,chain_title,model,run_count,visible_qa_question_count,qa_quality_flags,qa_categories,final_evidence_sources,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_per_run,investigator_sql_note
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-edr:66; ...:15; cbc-ngav:8; msft-security:7,0.907,0.889,0.778,0.694,3.89,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,2,time_window_or_timestamp:2; process_identity:2; command_line:2; source_stream:2; row_identifier:2; parent_child_relation:2,script_execution_chain:2; network_service_or_http_server:1; registry_persistence:1; shell_or_batch_execution:1,msft-security:24; cbc-edr:23; cbc-ngav:21; cbc-ngav-alerts:4; sysmon:3; cbc-edr-alerts:2,1.000,1.000,1.000,0.708,4.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:22; sysmon:3,0.444,0.222,0.111,0.365,6.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-edr:62; msft-security:14; cbc-ngav:13,0.889,0.889,0.889,0.693,2.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
chain_06_e04_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:2; alert_summary_reference:1,network_service_or_http_server:3; script_execution_chain:3; shell_or_batch_execution:2,msft-security:41; cbc-ngav:25; cbc-edr:16; sysmon:11; cbc-ngav-alerts:10,1.000,1.000,1.000,0.667,5.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,gpt-4.1-mini,9,0,,,sysmon:12; audit_logs:5; cbc-edr:4; cbc-edr-alerts:4,0.293,0.056,0.123,0.633,3.00,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,gpt-5.4-mini,9,0,,,cbc-edr:71; msft-security:25; cbc-edr-alerts:9; cbc-ngav:2,0.659,0.567,0.198,0.726,2.89,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。複数結果の時系列統合が弱い。
chain_07_e05_sublime_python_script_execution_chain,Sublime-triggered Python script execution,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,script_execution_chain:3; shell_or_batch_execution:3; network_service_or_http_server:2; registry_persistence:2,cbc-edr:48; msft-security:21; cbc-edr-alerts:18; cbc-ngav:17; sysmon:16; cbc-ngav-alerts:2,0.833,0.833,0.815,0.889,5.33,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,gpt-4.1-mini,9,0,,,audit_logs:12; sysmon:4; cbc-edr-alerts:4,0.278,0.000,0.111,0.236,5.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,gpt-5.4-mini,9,0,,,cbc-edr:28; cbc-edr-alerts:18; sysmon:12; msft-security:9; cbc-ngav:2,0.796,0.667,0.667,0.572,2.78,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。
chain_09_e07_cmdexe_other_chain,cmd.exe alert behavior chain,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; parent_child_relation:3; source_stream:2; row_identifier:2,shell_or_batch_execution:3; registry_persistence:1; dns_capture_or_collection:1,cbc-edr:78; msft-security:38; cbc-ngav:20; cbc-edr-alerts:12; sysmon:11; cbc-ngav-alerts:3,0.667,0.667,0.667,0.667,4.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。主要証跡には届くが、余計な候補または順序の弱さが残る。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,gpt-4.1-mini,9,0,,,audit_logs:19; cbc-edr-alerts:3; sysmon:2; cbc-edr:2,0.506,0.148,0.167,0.488,4.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,gpt-5.4-mini,9,0,,,cbc-edr:26; cbc-edr-alerts:14; msft-security:7; unresolved_source:4,0.642,0.481,0.333,0.696,2.00,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。
chain_10_e07_discord_run_key_registry_chain,Discord Run key registry chain,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; parent_child_relation:3; row_identifier:2; alert_summary_reference:1,registry_persistence:3,cbc-edr:53; msft-security:27; cbc-edr-alerts:20; cbc-ngav:13; sysmon:4,1.000,0.667,0.667,0.783,3.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。主要証跡には届くが、余計な候補または順序の弱さが残る。ただしraw救済であり構造化出力条件とは分ける。
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,gpt-4.1-mini,9,0,,,audit_logs:33; sysmon:3; cbc-edr:2,0.549,0.204,0.200,0.551,5.33,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,gpt-5.4-mini,9,0,,,sysmon:28; cbc-edr:27; cbc-edr-alerts:22,0.809,0.704,0.600,0.686,3.33,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。
chain_11_e07_sublime_python_script_execution_chain,Sublime-triggered Python script execution,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; parent_child_relation:3; row_identifier:2; alert_summary_reference:1,script_execution_chain:3; shell_or_batch_execution:3,cbc-edr:40; msft-security:23; cbc-ngav:19; cbc-edr-alerts:13; sysmon:2,0.944,0.944,0.800,0.816,4.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:14; sysmon:6; cbc-edr:1; msft-security:1,0.593,0.333,0.556,0.477,3.89,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,msft-security:26; cbc-ngav:26; cbc-edr:21; audit_logs:6; sysmon:3,0.963,0.944,0.889,0.627,4.22,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_12_e08_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,network_service_or_http_server:3; script_execution_chain:3; shell_or_batch_execution:3,cbc-ngav:45; msft-security:38; cbc-edr:11; cbc-ngav-alerts:10; cbc-edr-alerts:1; sysmon:1,1.000,1.000,1.000,0.708,4.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-4.1-mini,9,0,,,audit_logs:14; sysmon:3; cbc-edr-alerts:2,0.289,0.067,0.083,0.419,4.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.4-mini,9,0,,,cbc-edr:28; sysmon:8; unknown:8; cbc-edr-alerts:7; msft-security:4,0.674,0.578,0.389,0.671,2.56,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。複数結果の時系列統合が弱い。
chain_13_e09_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,dns_capture_or_collection:3; shell_or_batch_execution:3; script_execution_chain:2; registry_persistence:1,cbc-edr:39; cbc-edr-alerts:20; cbc-ngav:10; msft-security:7,1.000,1.000,1.000,0.725,5.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:22; cbc-ngav:2,0.444,0.167,0.000,0.397,5.67,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,sysmon:37; cbc-edr:34; cbc-ngav:11,0.704,0.667,0.667,0.563,4.78,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_14_e09_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,script_execution_chain:3; shell_or_batch_execution:3; network_service_or_http_server:2,cbc-ngav:42; cbc-edr:26; cbc-ngav-alerts:10; cbc-edr-alerts:4; sysmon:1,1.000,1.000,1.000,0.677,4.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:22; cbc-ngav:2; sysmon:1,0.519,0.278,0.222,0.479,5.11,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-edr:44; cbc-ngav:9,0.833,0.833,0.778,0.760,1.11,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
chain_15_e10_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,network_service_or_http_server:3; script_execution_chain:3; shell_or_batch_execution:2; registry_persistence:1,cbc-ngav:36; cbc-edr:20; cbc-ngav-alerts:18; cbc-edr-alerts:3; sysmon:1,1.000,1.000,1.000,0.783,2.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。ただしraw救済であり構造化出力条件とは分ける。
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:16; sysmon:6; cbc-ngav:1,0.463,0.278,0.333,0.480,5.00,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-ngav:31; cbc-edr:12; sysmon:8; unknown:2; cbc-edr-alerts:1,0.889,0.889,0.889,0.776,1.78,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
chain_16_e11_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3; alert_summary_reference:1,script_execution_chain:3; shell_or_batch_execution:2; network_service_or_http_server:1,cbc-ngav:39; cbc-edr:12; sysmon:11; cbc-ngav-alerts:9,1.000,1.000,1.000,0.759,3.33,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。ただしraw救済であり構造化出力条件とは分ける。
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:19; sysmon:3; cbc-ngav:1,0.611,0.222,0.556,0.526,4.67,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-ngav:54; cbc-edr:4,0.926,0.833,0.889,0.903,0.89,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
chain_17_e12_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,network_service_or_http_server:3; script_execution_chain:3; shell_or_batch_execution:3; registry_persistence:2,cbc-ngav:43; cbc-edr:13; cbc-ngav-alerts:8; sysmon:5; cbc-edr-alerts:1,1.000,1.000,1.000,0.796,3.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。ただしraw救済であり構造化出力条件とは分ける。
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-4.1-mini,9,0,,,audit_logs:19; sysmon:9; msft-security:6; cbc-edr-alerts:3; cbc-edr:1,0.722,0.278,0.444,0.302,9.89,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.4-mini,9,0,,,cbc-edr:64; msft-security:22; sysmon:10; cbc-edr-alerts:5,0.852,0.667,0.778,0.349,5.33,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_18_e13_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,dns_capture_or_collection:3; shell_or_batch_execution:3; network_service_or_http_server:1; registry_persistence:1,cbc-edr:59; cbc-edr-alerts:16; cbc-ngav:11; sysmon:4; dns_requests:3; cbc-ngav-alerts:2,1.000,1.000,1.000,0.656,4.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:20; sysmon:5; cbc-ngav:1,0.537,0.222,0.333,0.383,5.56,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-ngav:36; cbc-edr:12; sysmon:6; 未確認:3,0.852,0.833,0.778,0.938,0.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
chain_19_e13_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,2,time_window_or_timestamp:2; process_identity:2; command_line:2; source_stream:2; row_identifier:2; parent_child_relation:2,network_service_or_http_server:2; script_execution_chain:2; shell_or_batch_execution:2,cbc-ngav:33; cbc-edr:27; cbc-ngav-alerts:9; sysmon:2; cbc-edr-alerts:1,1.000,1.000,1.000,0.675,4.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:8; sysmon:5; cbc-ngav:3; cbc-edr:1,0.481,0.167,0.111,0.667,1.56,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-edr:45; cbc-ngav:17,0.833,0.833,0.778,0.917,0.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
chain_21_e15_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,network_service_or_http_server:3; script_execution_chain:3; shell_or_batch_execution:3; registry_persistence:1,cbc-ngav:22; cbc-edr:14; cbc-ngav-alerts:6; sysmon:5; cbc-edr-alerts:1,1.000,1.000,1.000,0.707,3.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。ただしraw救済であり構造化出力条件とは分ける。
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:16; sysmon:3; cbc-ngav:1,0.630,0.278,0.556,0.738,1.56,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-ngav:36; cbc-edr:9; cbc-events:4; msft-security:4; sysmon:2,0.963,0.944,0.889,0.932,0.78,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
chain_22_e16_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:2,network_service_or_http_server:3; script_execution_chain:3; shell_or_batch_execution:2,cbc-ngav:25; cbc-ngav-alerts:9; cbc-edr:4; sysmon:3; cbc-edr-alerts:1,1.000,1.000,1.000,0.798,2.33,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。ただしraw救済であり構造化出力条件とは分ける。
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:15; msft-security:8; sysmon:1,0.611,0.389,0.222,0.529,3.56,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。
chain_23_e17_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-ngav:50; sysmon:4; cbc-edr:3,1.000,1.000,1.000,1.000,0.00,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。最終出力の証跡選択は正解証跡にかなり近い。
