path,folder,run_id,model,status,error_type,input_tokens,output_tokens,cached_input_tokens,mtime
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4275987
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T083732Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official\run.json,20260529T083732Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,20260529T083732Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,gpt-4.1-mini,success,,3859,519,0,1780043885.9475586
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T083925Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official\run.json,20260529T083925Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,20260529T083925Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,gpt-4.1-mini,success,,6717,2531,0,1780044167.70709
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T084331Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official\run.json,20260529T084331Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,20260529T084331Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,gpt-4.1-mini,success,,5362,579,0,1780044263.0237305
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T084504Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official\run.json,20260529T084504Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,20260529T084504Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,gpt-4.1-mini,success,,7507,2126,0,1780044391.3659506
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T100936Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official\run.json,20260529T100936Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,20260529T100936Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,gpt-4.1-mini,no_usage,,0,0,0,1780049376.1544344
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T100954Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official\run.json,20260529T100954Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,20260529T100954Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,gpt-4.1-mini,no_usage,,0,0,0,1780049394.1691144
data\current_experiment\runs\clouseau_reconstruction_outputs\20260530T033554Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official\run.json,20260530T033554Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official,20260530T033554Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official,gpt-5,no_usage,,0,0,0,1780112154.5838394
data\current_experiment\runs\clouseau_reconstruction_outputs\20260530T033633Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official\run.json,20260530T033633Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official,20260530T033633Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official,gpt-5,no_usage,,0,0,0,1780112193.9718482
data\current_experiment\runs\clouseau_reconstruction_outputs\20260530T033651Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official\run.json,20260530T033651Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,20260530T033651Z_gold_reviewed_10_regexe_20220716t150700z_gpt-4.1-mini_official,gpt-4.1-mini,success,,17253,2987,0,1780112530.157749
data\current_experiment\runs\clouseau_reconstruction_outputs\20260530T034414Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official\run.json,20260530T034414Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official,20260530T034414Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official,gpt-5,no_usage,,0,0,0,1780112654.0045493
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,no_usage,,0,0,0,1780403895.5239577
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,no_usage,,0,0,0,1780403895.623486
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T123815Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,no_usage,,0,0,0,1780403895.7350254
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T123835Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260602T123835Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260602T123835Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,8073,1668,0,1780404093.171808
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T124155Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T124155Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T124155Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,7689,807,0,1780404199.3355336
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T124335Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T124335Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T124335Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,7970,667,0,1780404289.4294522
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T124634Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260602T124634Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260602T124634Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,8312,1709,0,1780404498.1060715
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T124844Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T124844Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T124844Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,7918,584,0,1780404614.9631293
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T125032Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T125032Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T125032Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,8681,629,0,1780404754.4375918
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T125350Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T125350Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T125350Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,9425,2112,0,1780404899.9641936
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T125519Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T125519Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T125519Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,12807,1511,0,1780405002.8884203
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T132055Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T132055Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T132055Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,15017,2645,0,1780406634.183966
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T133204Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260602T133204Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260602T133204Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,9413,1771,0,1780407193.909654
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T133333Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T133333Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T133333Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,8900,2295,0,1780407350.7180707
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T133607Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T133607Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T133607Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,9002,2341,0,1780407445.335546
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T135729Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260602T135729Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260602T135729Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,14573,2981,0,1780408812.9602597
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T140028Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T140028Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T140028Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,8710,2068,0,1780408940.0555687
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T140240Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T140240Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T140240Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,9197,865,0,1780409123.675387
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T140915Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260602T140915Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260602T140915Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,9939,1927,0,1780409474.3494508
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T141129Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T141129Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T141129Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,10834,2273,0,1780409589.2200398
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T141325Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T141325Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T141325Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,18520,2841,0,1780409858.6260438
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T144128Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260602T144128Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260602T144128Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,10886,1683,0,1780411447.3472483
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T144618Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T144618Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T144618Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,9950,2044,0,1780411681.9247675
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T144946Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T144946Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T144946Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,13170,2300,0,1780411847.0000222
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T145910Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260602T145910Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1-mini_official,20260602T145910Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,8968,1833,0,1780412464.437833
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T150104Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260602T150104Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260602T150104Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,9029,1833,0,1780412709.9177835
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T150509Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260602T150509Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1-mini_official,20260602T150509Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,8791,2342,0,1780412946.9930122
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T151044Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-5.4-nano_official\run.json,20260602T151044Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-5.4-nano_official,20260602T151044Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-5.4-nano_official,gpt-5.4-nano,success,,18551,7830,0,1780413156.8694673
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T151236Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-5.4-nano_official\run.json,20260602T151236Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-5.4-nano_official,20260602T151236Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-5.4-nano_official,gpt-5.4-nano,success,,25155,3241,0,1780413238.334344
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T151358Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-5.4-nano_official\run.json,20260602T151358Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-5.4-nano_official,20260602T151358Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-5.4-nano_official,gpt-5.4-nano,success,,27410,5305,0,1780413386.0718372
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T152948Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official\run.json,20260602T152948Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official,20260602T152948Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official,gpt-4.1,success,,10472,2900,0,1780414239.6234672
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T153039Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official\run.json,20260602T153039Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official,20260602T153039Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official,gpt-4.1,success,,15107,3382,0,1780414604.5865421
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T153644Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official\run.json,20260602T153644Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official,20260602T153644Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official,gpt-4.1,success,,14653,3151,0,1780414808.725234
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T154015Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official\run.json,20260602T154015Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official,20260602T154015Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official,gpt-4.1,success,,13082,2044,0,1780415098.472218
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T154458Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official\run.json,20260602T154458Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official,20260602T154458Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official,gpt-4.1,success,,9897,879,0,1780415217.2070105
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T154657Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official\run.json,20260602T154657Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official,20260602T154657Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official,gpt-4.1,success,,8757,741,0,1780415258.2088413
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T154746Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official\run.json,20260602T154746Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official,20260602T154746Z_chain_10_e07_discord_run_key_registry_chain__A_5min_process_alert_gpt-4.1_official,gpt-4.1,success,,10787,3891,0,1780415316.057256
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T154836Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official\run.json,20260602T154836Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official,20260602T154836Z_chain_10_e07_discord_run_key_registry_chain__B_15min_alert_no_process_gpt-4.1_official,gpt-4.1,success,,11613,2493,0,1780415452.235693
data\current_experiment\runs\clouseau_reconstruction_outputs\20260602T155052Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official\run.json,20260602T155052Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official,20260602T155052Z_chain_10_e07_discord_run_key_registry_chain__C_30min_time_only_gpt-4.1_official,gpt-4.1,success,,12490,2962,0,1780415738.1951342
data\current_experiment\runs\clouseau_reconstruction_outputs\20260603T012835Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260603T012835Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260603T012835Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,10750,2153,0,1780450199.0649066
data\current_experiment\runs\clouseau_reconstruction_outputs\20260603T012959Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official\run.json,20260603T012959Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,20260603T012959Z_chain_08_e06_sublime_python_script_execution_chain__B_15min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,14385,4078,0,1780450311.7432144
data\current_experiment\runs\clouseau_reconstruction_outputs\20260603T013151Z_chain_08_e06_sublime_python_script_execution_chain__B_30min_alert_no_process_gpt-4.1-mini_official\run.json,20260603T013151Z_chain_08_e06_sublime_python_script_execution_chain__B_30min_alert_no_process_gpt-4.1-mini_official,20260603T013151Z_chain_08_e06_sublime_python_script_execution_chain__B_30min_alert_no_process_gpt-4.1-mini_official,gpt-4.1-mini,success,,10527,2113,0,1780450472.7839844
data\current_experiment\runs\clouseau_reconstruction_outputs\20260603T013432Z_chain_08_e06_sublime_python_script_execution_chain__C_5min_time_only_gpt-4.1-mini_official\run.json,20260603T013432Z_chain_08_e06_sublime_python_script_execution_chain__C_5min_time_only_gpt-4.1-mini_official,20260603T013432Z_chain_08_e06_sublime_python_script_execution_chain__C_5min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,10608,1288,0,1780450543.310801
data\current_experiment\runs\clouseau_reconstruction_outputs\20260603T013543Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official\run.json,20260603T013543Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,20260603T013543Z_chain_08_e06_sublime_python_script_execution_chain__C_30min_time_only_gpt-4.1-mini_official,gpt-4.1-mini,success,,16384,3295,0,1780450675.4835842
data\current_experiment\runs\clouseau_reconstruction_outputs\20260603T014502Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official\run.json,20260603T014502Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,20260603T014502Z_chain_08_e06_sublime_python_script_execution_chain__A_5min_process_alert_gpt-4.1-mini_official,gpt-4.1-mini,success,,9031,1357,0,1780451152.9287796
